distance_metric,k,split,class,precision,recall,f1,support
euclidean,5,train,100192430,1.0,1.0,1.0,1224
euclidean,5,train,100610443,1.0,1.0,1.0,801
euclidean,5,train,100610883,1.0,1.0,1.0,585
euclidean,5,train,300000007,1.0,1.0,1.0,1035
euclidean,5,train,300000018,1.0,1.0,1.0,666
euclidean,5,train,300000034,1.0,1.0,1.0,1890
euclidean,5,train,300000080,1.0,1.0,1.0,1782
euclidean,5,train,300000082,1.0,1.0,1.0,882
euclidean,5,train,700018215,1.0,1.0,1.0,576
euclidean,5,test,100180860,0.6727272727272727,0.5522388059701493,0.6065573770491803,67
euclidean,5,test,100192430,0.6645962732919255,0.7867647058823529,0.7205387205387207,136
euclidean,5,test,100610443,0.8765432098765432,0.797752808988764,0.8352941176470587,89
euclidean,5,test,100610883,0.5952380952380952,0.7692307692307693,0.6711409395973155,65
euclidean,5,test,300000007,0.8080808080808081,0.6956521739130435,0.7476635514018692,115
euclidean,5,test,300000018,0.7096774193548387,0.5945945945945946,0.6470588235294118,74
euclidean,5,test,300000034,0.6976744186046512,0.8571428571428571,0.7692307692307693,210
euclidean,5,test,300000080,0.7401129943502824,0.6616161616161617,0.6986666666666665,198
euclidean,5,test,300000082,0.7352941176470589,0.7653061224489796,0.75,98
euclidean,5,test,700018215,0.6216216216216216,0.359375,0.4554455445544554,64
euclidean,6,train,100180860,1.0,1.0,1.0,603
euclidean,6,train,100192430,1.0,1.0,1.0,1224
euclidean,6,train,100610443,1.0,1.0,1.0,801
euclidean,6,train,100610883,1.0,1.0,1.0,585
euclidean,6,train,300000007,1.0,1.0,1.0,1035
euclidean,6,train,300000018,1.0,1.0,1.0,666
euclidean,6,train,300000034,1.0,1.0,1.0,1890
euclidean,6,train,300000080,1.0,1.0,1.0,1782
euclidean,6,train,300000082,1.0,1.0,1.0,882
euclidean,6,train,700018215,1.0,1.0,1.0,576
euclidean,6,test,100180860,0.7115384615384616,0.5522388059701493,0.6218487394957983,67
euclidean,6,test,100192430,0.6666666666666666,0.7941176470588235,0.7248322147651006,136
euclidean,6,test,100610443,0.8780487804878049,0.8089887640449438,0.8421052631578947,89
euclidean,6,test,100610883,0.5681818181818182,0.7692307692307693,0.6535947712418302,65
euclidean,6,test,300000007,0.8080808080808081,0.6956521739130435,0.7476635514018692,115
euclidean,6,test,300000018,0.8181818181818182,0.6081081081081081,0.6976744186046513,74
euclidean,6,test,300000034,0.7104247104247104,0.8761904761904762,0.7846481876332623,210
euclidean,6,test,300000080,0.7225130890052356,0.696969696969697,0.7095115681233933,198
euclidean,6,test,300000082,0.776595744680851,0.7448979591836735,0.7604166666666667,98
euclidean,6,test,700018215,0.6764705882352942,0.359375,0.46938775510204084,64
euclidean,7,train,100180860,1.0,1.0,1.0,603
euclidean,7,train,100192430,1.0,1.0,1.0,1224
euclidean,7,train,100610443,1.0,1.0,1.0,801
euclidean,7,train,100610883,1.0,1.0,1.0,585
euclidean,7,train,300000007,1.0,1.0,1.0,1035
euclidean,7,train,300000018,1.0,1.0,1.0,666
euclidean,7,train,300000034,1.0,1.0,1.0,1890
euclidean,7,train,300000080,1.0,1.0,1.0,1782
euclidean,7,train,300000082,1.0,1.0,1.0,882
euclidean,7,train,700018215,1.0,1.0,1.0,576
euclidean,7,test,100180860,0.7708333333333334,0.5522388059701493,0.6434782608695653,67
euclidean,7,test,100192430,0.6981132075471698,0.8161764705882353,0.752542372881356,136
euclidean,7,test,100610443,0.8902439024390244,0.8202247191011236,0.8538011695906433,89
euclidean,7,test,100610883,0.5747126436781609,0.7692307692307693,0.6578947368421053,65
euclidean,7,test,300000007,0.8247422680412371,0.6956521739130435,0.7547169811320755,115
euclidean,7,test,300000018,0.8148148148148148,0.5945945945945946,0.6875,74
euclidean,7,test,300000034,0.7094339622641509,0.8952380952380953,0.7915789473684209,210
euclidean,7,test,300000080,0.7128205128205128,0.702020202020202,0.7073791348600509,198
euclidean,7,test,300000082,0.7708333333333334,0.7551020408163265,0.7628865979381444,98
euclidean,7,test,700018215,0.7272727272727273,0.375,0.49484536082474223,64
euclidean,8,train,100180860,1.0,1.0,1.0,603
euclidean,8,train,100192430,1.0,1.0,1.0,1224
euclidean,8,train,100610443,1.0,1.0,1.0,801
euclidean,8,train,100610883,1.0,1.0,1.0,585
euclidean,8,train,300000007,1.0,1.0,1.0,1035
euclidean,8,train,300000018,1.0,1.0,1.0,666
euclidean,8,train,300000034,1.0,1.0,1.0,1890
euclidean,8,train,300000080,1.0,1.0,1.0,1782
euclidean,8,train,300000082,1.0,1.0,1.0,882
euclidean,8,train,700018215,1.0,1.0,1.0,576
euclidean,8,test,100180860,0.7358490566037735,0.582089552238806,0.65,67
euclidean,8,test,100192430,0.7037037037037037,0.8382352941176471,0.7651006711409395,136
euclidean,8,test,100610443,0.8780487804878049,0.8089887640449438,0.8421052631578947,89
euclidean,8,test,100610883,0.5697674418604651,0.7538461538461538,0.6490066225165563,65
euclidean,8,test,300000007,0.8571428571428571,0.6782608695652174,0.7572815533980582,115
euclidean,8,test,300000018,0.8431372549019608,0.581081081081081,0.688,74
euclidean,8,test,300000034,0.7014925373134329,0.8952380952380953,0.7866108786610879,210
euclidean,8,test,300000080,0.7193877551020408,0.7121212121212122,0.715736040609137,198
euclidean,8,test,300000082,0.8152173913043478,0.7653061224489796,0.7894736842105263,98
euclidean,8,test,700018215,0.7428571428571429,0.40625,0.5252525252525253,64
euclidean,9,train,100180860,1.0,1.0,1.0,603
euclidean,9,train,100192430,1.0,1.0,1.0,1224
euclidean,9,train,100610443,1.0,1.0,1.0,801
euclidean,9,train,100610883,1.0,1.0,1.0,585
euclidean,9,train,300000007,1.0,1.0,1.0,1035
euclidean,9,train,300000018,1.0,1.0,1.0,666
euclidean,9,train,300000034,1.0,1.0,1.0,1890
euclidean,9,train,300000080,1.0,1.0,1.0,1782
euclidean,9,train,300000082,1.0,1.0,1.0,882
euclidean,9,train,700018215,1.0,1.0,1.0,576
euclidean,9,test,100180860,0.76,0.5671641791044776,0.6495726495726495,67
euclidean,9,test,100192430,0.7267080745341615,0.8602941176470589,0.787878787878788,136
euclidean,9,test,100610443,0.8571428571428571,0.8089887640449438,0.8323699421965318,89
euclidean,9,test,100610883,0.5882352941176471,0.7692307692307693,0.6666666666666667,65
euclidean,9,test,300000007,0.8804347826086957,0.7043478260869566,0.782608695652174,115
euclidean,9,test,300000018,0.8653846153846154,0.6081081081081081,0.7142857142857144,74
euclidean,9,test,300000034,0.7028985507246377,0.9238095238095239,0.7983539094650205,210
euclidean,9,test,300000080,0.7422680412371134,0.7272727272727273,0.7346938775510204,198
euclidean,9,test,300000082,0.8461538461538461,0.7857142857142857,0.8148148148148148,98
euclidean,9,test,700018215,0.8064516129032258,0.390625,0.5263157894736842,64
euclidean,10,train,100180860,1.0,1.0,1.0,603
euclidean,10,train,100192430,1.0,1.0,1.0,1224
euclidean,10,train,100610443,1.0,1.0,1.0,801
euclidean,10,train,100610883,1.0,1.0,1.0,585
euclidean,10,train,300000007,1.0,1.0,1.0,1035
euclidean,10,train,300000018,1.0,1.0,1.0,666
euclidean,10,train,300000034,1.0,1.0,1.0,1890
euclidean,10,train,300000080,1.0,1.0,1.0,1782
euclidean,10,train,300000082,1.0,1.0,1.0,882
euclidean,10,train,700018215,1.0,1.0,1.0,576
euclidean,10,test,100180860,0.78,0.582089552238806,0.6666666666666667,67
euclidean,10,test,100192430,0.6900584795321637,0.8676470588235294,0.7687296416938111,136
