distance_metric,k,split,class,precision,recall,f1,support
euclidean,5,train,300000018,1.0,1.0,1.0,576
euclidean,5,train,300000034,1.0,1.0,1.0,864
euclidean,5,train,300000080,1.0,1.0,1.0,864
euclidean,5,train,300000082,1.0,1.0,1.0,576
euclidean,5,train,700018215,1.0,1.0,1.0,576
euclidean,5,test,100180860,0.8048780487804879,0.515625,0.6285714285714286,64
euclidean,5,test,100192430,0.5607476635514018,0.8823529411764706,0.6857142857142856,68
euclidean,5,test,100610443,0.9298245614035088,0.828125,0.8760330578512396,64
euclidean,5,test,100610883,0.6410256410256411,0.78125,0.7042253521126761,64
euclidean,5,test,300000007,0.7878787878787878,0.8125,0.8,64
euclidean,5,test,300000018,0.7727272727272727,0.53125,0.6296296296296297,64
euclidean,5,test,300000034,0.6521739130434783,0.78125,0.7109004739336493,96
euclidean,5,test,300000080,0.6593406593406593,0.625,0.6417112299465241,96
euclidean,5,test,300000082,0.7794117647058824,0.828125,0.8030303030303031,64
euclidean,5,test,700018215,0.7317073170731707,0.46875,0.5714285714285714,64
euclidean,6,train,100180860,1.0,1.0,1.0,576
euclidean,6,train,100192430,1.0,1.0,1.0,612
euclidean,6,train,100610443,1.0,1.0,1.0,576
euclidean,6,train,100610883,1.0,1.0,1.0,576
euclidean,6,train,300000007,1.0,1.0,1.0,576
euclidean,6,train,300000018,1.0,1.0,1.0,576
euclidean,6,train,300000034,1.0,1.0,1.0,864
euclidean,6,train,300000080,1.0,1.0,1.0,864
euclidean,6,train,300000082,1.0,1.0,1.0,576
euclidean,6,train,700018215,1.0,1.0,1.0,576
euclidean,6,test,100180860,0.8604651162790697,0.578125,0.6915887850467289,64
euclidean,6,test,100192430,0.5943396226415094,0.9264705882352942,0.7241379310344828,68
euclidean,6,test,100610443,0.9473684210526315,0.84375,0.8925619834710744,64
euclidean,6,test,100610883,0.6585365853658537,0.84375,0.7397260273972602,64
euclidean,6,test,300000007,0.8059701492537313,0.84375,0.8244274809160305,64
euclidean,6,test,300000018,0.8372093023255814,0.5625,0.6728971962616822,64
euclidean,6,test,300000034,0.7043478260869566,0.84375,0.7677725118483414,96
euclidean,6,test,300000080,0.7032967032967034,0.6666666666666666,0.6844919786096256,96
euclidean,6,test,300000082,0.8125,0.8125,0.8125,64
euclidean,6,test,700018215,0.75,0.46875,0.5769230769230769,64
euclidean,7,train,100180860,1.0,1.0,1.0,576
euclidean,7,train,100192430,1.0,1.0,1.0,612
euclidean,7,train,100610443,1.0,1.0,1.0,576
euclidean,7,train,100610883,1.0,1.0,1.0,576
euclidean,7,train,300000007,1.0,1.0,1.0,576
euclidean,7,train,300000018,1.0,1.0,1.0,576
euclidean,7,train,300000034,1.0,1.0,1.0,864
euclidean,7,train,300000080,1.0,1.0,1.0,864
euclidean,7,train,300000082,1.0,1.0,1.0,576
euclidean,7,train,700018215,1.0,1.0,1.0,576
