distance_metric,k,split,class,precision,recall,f1,support
euclidean,5,train,100192430,1.0,1.0,1.0,1224
euclidean,5,train,100610443,1.0,1.0,1.0,801
euclidean,5,train,100610883,1.0,1.0,1.0,585
euclidean,5,train,300000007,1.0,1.0,1.0,1035
euclidean,5,train,300000018,1.0,1.0,1.0,666
euclidean,5,train,300000034,1.0,1.0,1.0,1890
euclidean,5,train,300000080,1.0,1.0,1.0,1782
euclidean,5,train,300000082,1.0,1.0,1.0,882
euclidean,5,train,700018215,1.0,1.0,1.0,576
euclidean,5,test,100180860,0.7758620689655172,0.6716417910447762,0.7200000000000001,67
euclidean,5,test,100192430,0.823076923076923,0.7867647058823529,0.8045112781954886,136
euclidean,5,test,100610443,0.8777777777777778,0.8876404494382022,0.88268156424581,89
euclidean,5,test,100610883,0.7551020408163265,0.5692307692307692,0.6491228070175438,65
euclidean,5,test,300000007,0.7815126050420168,0.808695652173913,0.7948717948717948,115
euclidean,5,test,300000018,0.7424242424242424,0.6621621621621622,0.7000000000000001,74
euclidean,5,test,300000034,0.7966101694915254,0.8952380952380953,0.8430493273542602,210
euclidean,5,test,300000080,0.7632850241545893,0.797979797979798,0.7802469135802469,198
euclidean,5,test,300000082,0.7207207207207207,0.8163265306122449,0.7655502392344496,98
euclidean,5,test,700018215,0.74,0.578125,0.6491228070175439,64
euclidean,6,train,100180860,1.0,1.0,1.0,603
euclidean,6,train,100192430,1.0,1.0,1.0,1224
euclidean,6,train,100610443,1.0,1.0,1.0,801
euclidean,6,train,100610883,1.0,1.0,1.0,585
euclidean,6,train,300000007,1.0,1.0,1.0,1035
euclidean,6,train,300000018,1.0,1.0,1.0,666
euclidean,6,train,300000034,1.0,1.0,1.0,1890
euclidean,6,train,300000080,1.0,1.0,1.0,1782
euclidean,6,train,300000082,1.0,1.0,1.0,882
euclidean,6,train,700018215,1.0,1.0,1.0,576
euclidean,6,test,100180860,0.7966101694915254,0.7014925373134329,0.746031746031746,67
euclidean,6,test,100192430,0.84375,0.7941176470588235,0.8181818181818182,136
euclidean,6,test,100610443,0.8888888888888888,0.898876404494382,0.8938547486033519,89
euclidean,6,test,100610883,0.7659574468085106,0.5538461538461539,0.6428571428571429,65
euclidean,6,test,300000007,0.7796610169491526,0.8,0.7896995708154507,115
euclidean,6,test,300000018,0.746268656716418,0.6756756756756757,0.7092198581560283,74
euclidean,6,test,300000034,0.7890295358649789,0.8904761904761904,0.8366890380313199,210
euclidean,6,test,300000080,0.7658536585365854,0.7929292929292929,0.7791563275434242,198
euclidean,6,test,300000082,0.7297297297297297,0.826530612244898,0.7751196172248804,98
euclidean,6,test,700018215,0.7037037037037037,0.59375,0.6440677966101694,64
euclidean,7,train,100180860,1.0,1.0,1.0,603
euclidean,7,train,100192430,1.0,1.0,1.0,1224
euclidean,7,train,100610443,1.0,1.0,1.0,801
euclidean,7,train,100610883,1.0,1.0,1.0,585
euclidean,7,train,300000007,1.0,1.0,1.0,1035
euclidean,7,train,300000018,1.0,1.0,1.0,666
euclidean,7,train,300000034,1.0,1.0,1.0,1890
euclidean,7,train,300000080,1.0,1.0,1.0,1782
euclidean,7,train,300000082,1.0,1.0,1.0,882
euclidean,7,train,700018215,1.0,1.0,1.0,576
euclidean,7,test,100180860,0.7758620689655172,0.6716417910447762,0.7200000000000001,67
euclidean,7,test,100192430,0.8134328358208955,0.8014705882352942,0.8074074074074075,136
euclidean,7,test,100610443,0.8586956521739131,0.8876404494382022,0.8729281767955801,89
euclidean,7,test,100610883,0.803921568627451,0.6307692307692307,0.7068965517241379,65
euclidean,7,test,300000007,0.8053097345132744,0.7913043478260869,0.7982456140350878,115
euclidean,7,test,300000018,0.7575757575757576,0.6756756756756757,0.7142857142857142,74
euclidean,7,test,300000034,0.8085106382978723,0.9047619047619048,0.853932584269663,210
euclidean,7,test,300000080,0.7572815533980582,0.7878787878787878,0.7722772277227724,198
euclidean,7,test,300000082,0.7545454545454545,0.8469387755102041,0.7980769230769231,98
euclidean,7,test,700018215,0.7254901960784313,0.578125,0.6434782608695652,64
euclidean,8,train,100180860,1.0,1.0,1.0,603
euclidean,8,train,100192430,1.0,1.0,1.0,1224
euclidean,8,train,100610443,1.0,1.0,1.0,801
euclidean,8,train,100610883,1.0,1.0,1.0,585
euclidean,8,train,300000007,1.0,1.0,1.0,1035
euclidean,8,train,300000018,1.0,1.0,1.0,666
euclidean,8,train,300000034,1.0,1.0,1.0,1890
euclidean,8,train,300000080,1.0,1.0,1.0,1782
euclidean,8,train,300000082,1.0,1.0,1.0,882
euclidean,8,train,700018215,1.0,1.0,1.0,576
euclidean,8,test,100180860,0.7796610169491526,0.6865671641791045,0.7301587301587301,67
euclidean,8,test,100192430,0.8320610687022901,0.8014705882352942,0.8164794007490637,136
euclidean,8,test,100610443,0.8804347826086957,0.9101123595505618,0.8950276243093923,89
euclidean,8,test,100610883,0.8297872340425532,0.6,0.6964285714285714,65
euclidean,8,test,300000007,0.8050847457627118,0.8260869565217391,0.8154506437768241,115
euclidean,8,test,300000018,0.7846153846153846,0.6891891891891891,0.7338129496402878,74
euclidean,8,test,300000034,0.8135593220338984,0.9142857142857143,0.860986547085202,210
euclidean,8,test,300000080,0.7523809523809524,0.797979797979798,0.7745098039215685,198
euclidean,8,test,300000082,0.7570093457943925,0.826530612244898,0.7902439024390243,98
euclidean,8,test,700018215,0.7254901960784313,0.578125,0.6434782608695652,64
euclidean,9,train,100180860,1.0,1.0,1.0,603
euclidean,9,train,100192430,1.0,1.0,1.0,1224
euclidean,9,train,100610443,1.0,1.0,1.0,801
euclidean,9,train,100610883,1.0,1.0,1.0,585
euclidean,9,train,300000007,1.0,1.0,1.0,1035
euclidean,9,train,300000018,1.0,1.0,1.0,666
euclidean,9,train,300000034,1.0,1.0,1.0,1890
euclidean,9,train,300000080,1.0,1.0,1.0,1782
euclidean,9,train,300000082,1.0,1.0,1.0,882
euclidean,9,train,700018215,1.0,1.0,1.0,576
euclidean,9,test,100180860,0.7704918032786885,0.7014925373134329,0.734375,67
euclidean,9,test,100192430,0.84251968503937,0.7867647058823529,0.8136882129277566,136
euclidean,9,test,100610443,0.9130434782608695,0.9438202247191011,0.9281767955801105,89
euclidean,9,test,100610883,0.8163265306122449,0.6153846153846154,0.7017543859649124,65
euclidean,9,test,300000007,0.7913043478260869,0.7913043478260869,0.791304347826087,115
euclidean,9,test,300000018,0.7878787878787878,0.7027027027027027,0.7428571428571429,74
euclidean,9,test,300000034,0.7983193277310925,0.9047619047619048,0.8482142857142857,210
euclidean,9,test,300000080,0.75,0.7878787878787878,0.7684729064039408,198
euclidean,9,test,300000082,0.7545454545454545,0.8469387755102041,0.7980769230769231,98
euclidean,9,test,700018215,0.74,0.578125,0.6491228070175439,64
euclidean,10,train,100180860,1.0,1.0,1.0,603
euclidean,10,train,100192430,1.0,1.0,1.0,1224
euclidean,10,train,100610443,1.0,1.0,1.0,801
euclidean,10,train,100610883,1.0,1.0,1.0,585
euclidean,10,train,300000007,1.0,1.0,1.0,1035
euclidean,10,train,300000018,1.0,1.0,1.0,666
euclidean,10,train,300000034,1.0,1.0,1.0,1890
euclidean,10,train,300000080,1.0,1.0,1.0,1782
euclidean,10,train,300000082,1.0,1.0,1.0,882
euclidean,10,train,700018215,1.0,1.0,1.0,576
euclidean,10,test,100180860,0.7894736842105263,0.6716417910447762,0.7258064516129032,67
euclidean,10,test,100192430,0.859375,0.8088235294117647,0.8333333333333333,136
