distance_metric,k,split,class,precision,recall,f1,support
euclidean,5,train,300000018,1.0,1.0,1.0,576
euclidean,5,train,300000034,1.0,1.0,1.0,1152
euclidean,5,train,300000080,1.0,1.0,1.0,1152
euclidean,5,train,300000082,1.0,1.0,1.0,585
euclidean,5,train,700018215,1.0,1.0,1.0,540
euclidean,5,test,100180860,0.8620689655172413,0.7936507936507936,0.8264462809917354,63
euclidean,5,test,100192430,0.9052631578947369,0.9555555555555556,0.9297297297297298,90
euclidean,5,test,100610443,0.9402985074626866,0.984375,0.9618320610687023,64
euclidean,5,test,100610883,0.9111111111111111,0.6721311475409836,0.7735849056603773,61
euclidean,5,test,300000007,0.8987341772151899,0.9342105263157895,0.9161290322580645,76
euclidean,5,test,300000018,0.9807692307692307,0.796875,0.8793103448275861,64
euclidean,5,test,300000034,0.8913043478260869,0.9609375,0.924812030075188,128
euclidean,5,test,300000080,0.8108108108108109,0.9375,0.8695652173913043,128
euclidean,5,test,300000082,0.863013698630137,0.9692307692307692,0.9130434782608695,65
euclidean,5,test,700018215,0.9090909090909091,0.6666666666666666,0.7692307692307692,60
euclidean,6,train,100180860,1.0,1.0,1.0,567
euclidean,6,train,100192430,1.0,1.0,1.0,810
euclidean,6,train,100610443,1.0,1.0,1.0,576
euclidean,6,train,100610883,1.0,1.0,1.0,549
euclidean,6,train,300000007,1.0,1.0,1.0,684
euclidean,6,train,300000018,1.0,1.0,1.0,576
euclidean,6,train,300000034,1.0,1.0,1.0,1152
euclidean,6,train,300000080,1.0,1.0,1.0,1152
euclidean,6,train,300000082,1.0,1.0,1.0,585
euclidean,6,train,700018215,1.0,1.0,1.0,540
euclidean,6,test,100180860,0.8947368421052632,0.8095238095238095,0.8500000000000001,63
euclidean,6,test,100192430,0.8865979381443299,0.9555555555555556,0.9197860962566844,90
euclidean,6,test,100610443,0.9264705882352942,0.984375,0.9545454545454545,64
euclidean,6,test,100610883,0.8837209302325582,0.6229508196721312,0.7307692307692308,61
euclidean,6,test,300000007,0.8888888888888888,0.9473684210526315,0.9171974522292994,76
euclidean,6,test,300000018,0.9636363636363636,0.828125,0.8907563025210083,64
euclidean,6,test,300000034,0.8848920863309353,0.9609375,0.9213483146067416,128
euclidean,6,test,300000080,0.8380281690140845,0.9296875,0.8814814814814814,128
euclidean,6,test,300000082,0.9,0.9692307692307692,0.9333333333333333,65
euclidean,6,test,700018215,0.8723404255319149,0.6833333333333333,0.766355140186916,60
euclidean,7,train,100180860,1.0,1.0,1.0,567
euclidean,7,train,100192430,1.0,1.0,1.0,810
euclidean,7,train,100610443,1.0,1.0,1.0,576
euclidean,7,train,100610883,1.0,1.0,1.0,549
euclidean,7,train,300000007,1.0,1.0,1.0,684
euclidean,7,train,300000018,1.0,1.0,1.0,576
euclidean,7,train,300000034,1.0,1.0,1.0,1152
euclidean,7,train,300000080,1.0,1.0,1.0,1152
euclidean,7,train,300000082,1.0,1.0,1.0,585
euclidean,7,train,700018215,1.0,1.0,1.0,540
euclidean,7,test,100180860,0.8771929824561403,0.7936507936507936,0.8333333333333334,63
euclidean,7,test,100192430,0.8958333333333334,0.9555555555555556,0.924731182795699,90
euclidean,7,test,100610443,0.9142857142857143,1.0,0.955223880597015,64
euclidean,7,test,100610883,0.9111111111111111,0.6721311475409836,0.7735849056603773,61
euclidean,7,test,300000007,0.8888888888888888,0.9473684210526315,0.9171974522292994,76
euclidean,7,test,300000018,0.9473684210526315,0.84375,0.8925619834710744,64
euclidean,7,test,300000034,0.9117647058823529,0.96875,0.9393939393939394,128
euclidean,7,test,300000080,0.8489208633093526,0.921875,0.8838951310861424,128
euclidean,7,test,300000082,0.8873239436619719,0.9692307692307692,0.9264705882352942,65
euclidean,7,test,700018215,0.9148936170212766,0.7166666666666667,0.8037383177570094,60
euclidean,8,train,100180860,1.0,1.0,1.0,567
euclidean,8,train,100192430,1.0,1.0,1.0,810
euclidean,8,train,100610443,1.0,1.0,1.0,576
euclidean,8,train,100610883,1.0,1.0,1.0,549
euclidean,8,train,300000007,1.0,1.0,1.0,684
euclidean,8,train,300000018,1.0,1.0,1.0,576
euclidean,8,train,300000034,1.0,1.0,1.0,1152
euclidean,8,train,300000080,1.0,1.0,1.0,1152
euclidean,8,train,300000082,1.0,1.0,1.0,585
euclidean,8,train,700018215,1.0,1.0,1.0,540
euclidean,8,test,100180860,0.8596491228070176,0.7777777777777778,0.8166666666666668,63
euclidean,8,test,100192430,0.8865979381443299,0.9555555555555556,0.9197860962566844,90
euclidean,8,test,100610443,0.9264705882352942,0.984375,0.9545454545454545,64
euclidean,8,test,100610883,0.9111111111111111,0.6721311475409836,0.7735849056603773,61
euclidean,8,test,300000007,0.8795180722891566,0.9605263157894737,0.9182389937106917,76
euclidean,8,test,300000018,0.9473684210526315,0.84375,0.8925619834710744,64
euclidean,8,test,300000034,0.9191176470588235,0.9765625,0.946969696969697,128
euclidean,8,test,300000080,0.8391608391608392,0.9375,0.8856088560885609,128
euclidean,8,test,300000082,0.9,0.9692307692307692,0.9333333333333333,65
euclidean,8,test,700018215,0.9069767441860465,0.65,0.7572815533980582,60
